"pool","doeid","nweight","hdd30yr","cdd30yr","kownrent","condcoop","naptflrs","stories","stoven","stovenfuel","stove","stovefuel","oven","ovenfuel","ovenuse","outgrill","dishwash","cwasher","washload","dryer","dryruse","tvcolor","computer","numpc","pcprint","moisture","prkgplc1","prkgplc2","cooltype","tempniteac","numberac","numcfan","notmoist","highceil","windows","adqinsul","drafty","swim"
1,555,21080951,6012,635,1,-2,-2,20,1,5,0,-2,0,-2,5,0,0,1,2,0,-2,1,0,0,-2,0,0,1,-2,-2,-2,0,0,0,50,3,3,0
1,746,5789366,6571,399,1,-2,-2,10,1,2,0,-2,0,-2,6,0,0,1,2,1,1,2,0,0,-2,0,0,0,2,-2,1,1,1,0,41,3,4,0
1,2578,7595513,7169,347,1,-2,-2,20,1,5,0,-2,0,-2,0,1,0,1,2,1,1,1,0,0,-2,0,0,1,-2,-2,-2,0,0,0,42,2,3,0
1,2716,3957920,6503,415,1,1,-2,31,1,5,0,-2,0,-2,5,1,1,1,2,1,3,1,0,0,-2,0,0,0,1,-2,-2,0,0,0,42,1,4,0
1,2912,11364479,7412,342,1,-2,-2,10,1,2,0,-2,0,-2,4,0,0,1,2,1,1,1,0,0,-2,0,0,0,2,-2,2,0,0,0,41,1,4,0
1,3198,22662622,5556,787,1,-2,-2,10,2,5,0,-2,0,-2,6,0,1,1,2,1,1,2,0,0,-2,0,1,-2,1,70,-2,0,1,0,41,2,4,0
1,3776,11337889,7059,313,3,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,1,1,1,4,1,1,1,1,1,-2,1,-2,-2,6,0,1,50,3,1,0
1,4191,6240950,5671,660,1,1,-2,20,1,5,0,-2,0,-2,4,0,1,1,3,1,2,2,1,1,1,0,1,-2,1,-2,-2,1,0,0,41,1,4,0
1,4231,7595515,6889,475,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,3,1,1,2,1,1,1,0,0,0,-2,-2,-2,5,0,0,41,2,4,0
1,4245,11836405,7439,336,1,-2,-2,10,1,2,0,-2,0,-2,6,1,0,1,1,1,1,2,0,0,-2,0,0,0,-2,-2,-2,0,0,0,30,2,3,0
1,4275,7854160,9319,186,2,-2,-2,10,1,5,0,-2,0,-2,3,1,0,1,2,1,1,3,1,1,0,0,0,1,-2,-2,-2,0,0,0,30,3,1,0
1,5558,6607243,5854,613,2,-2,-2,10,1,2,0,-2,0,-2,0,1,0,0,-2,0,-2,2,1,1,0,0,0,0,-2,-2,-2,0,0,0,41,1,4,0
1,5697,6240950,5854,613,1,1,-2,10,1,5,0,-2,0,-2,5,1,1,1,3,1,1,3,1,1,1,0,1,-2,1,72,-2,3,1,1,41,1,4,0
1,6004,7854160,8784,228,3,-2,-2,20,1,5,0,-2,0,-2,6,1,1,1,1,1,1,1,0,0,-2,1,1,-2,-2,-2,-2,4,0,0,42,1,4,0
1,6098,10734455,6544,597,1,-2,-2,20,0,-2,1,5,1,5,6,0,1,1,2,1,1,3,0,0,-2,0,0,1,-2,-2,-2,0,0,0,60,2,3,2
1,6546,32492205,5890,705,1,-2,-2,20,1,5,0,-2,0,-2,3,1,1,1,2,1,1,1,1,1,0,0,0,1,2,-2,2,1,0,0,41,2,1,0
1,8184,8233977,5745,305,1,-2,-2,20,1,2,0,-2,0,-2,6,1,1,1,2,1,1,2,1,1,0,0,1,-2,2,-2,1,1,0,1,30,1,4,0
1,8796,21406252,5471,810,1,-2,-2,10,1,5,0,-2,0,-2,6,0,1,1,1,1,2,2,1,1,1,0,1,-2,-2,-2,-2,4,1,0,42,2,4,1
1,8804,11364479,7285,367,1,-2,-2,20,1,5,0,-2,0,-2,0,1,0,1,1,1,3,1,0,0,-2,0,0,1,-2,-2,-2,1,0,1,50,1,4,0
1,9173,7595514,7422,238,1,-2,-2,20,1,5,0,-2,0,-2,5,0,1,1,1,1,1,2,1,1,1,1,0,1,-2,-2,-2,0,1,1,41,2,4,0
