pool, doeid, nweight, hdd30yr, cdd30yr, kownrent, stories, stove, stovefuel, oven, ovenfuel, ovenuse, stoven, outgrill, dishwash, cwasher, washload, dryer, dryruse, tvcolor, numlaptop, numtablet, pcprint, moisture, prkgplc1, cooltype, tempniteac, numberac, numcfan, notmoist, highceil, windows, adqinsul, drafty, swim, cellar, region, urban, housetyp, famcat, inccat
4 ,10227 ,14360.875818 ,7667 ,324 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,0 ,1 ,8 ,1 ,8 ,3 ,1 ,3 ,0 ,0 ,0 ,2 ,75 ,2 ,0 ,0 ,0 ,30 ,1 ,3 ,0 ,0 ,1 ,0 ,1 ,2 ,1
7 ,10422 ,14739.525368 ,10879 ,117 ,1 ,20 ,0 ,-2 ,0 ,-2 ,4 ,1 ,1 ,1 ,1 ,10 ,1 ,9 ,3 ,0 ,0 ,0 ,1 ,1 ,2 ,72 ,2 ,0 ,0 ,0 ,50 ,1 ,4 ,1 ,1 ,1 ,0 ,1 ,3 ,1
7 ,10611 ,21123.652393 ,7210 ,400 ,2 ,20 ,0 ,-2 ,0 ,-2 ,2 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,2 ,0 ,2 ,0 ,1 ,-2 ,-2 ,-2 ,0 ,0 ,0 ,41 ,2 ,4 ,0 ,0 ,1 ,0 ,1 ,3 ,1
4 ,10806 ,13591.449034 ,7136 ,421 ,1 ,20 ,0 ,-2 ,0 ,-2 ,10 ,1 ,0 ,0 ,1 ,6 ,1 ,6 ,1 ,0 ,0 ,0 ,0 ,0 ,-2 ,-2 ,-2 ,2 ,1 ,0 ,50 ,3 ,2 ,2 ,1 ,1 ,0 ,1 ,2 ,1
31 ,10979 ,20640.342224 ,7515 ,411 ,1 ,-2 ,0 ,-2 ,0 ,-2 ,10 ,1 ,1 ,0 ,1 ,4 ,1 ,4 ,3 ,0 ,2 ,1 ,1 ,-2 ,-2 ,-2 ,-2 ,4 ,0 ,-2 ,41 ,2 ,4 ,0 ,-2 ,1 ,0 ,3 ,3 ,1
13 ,11576 ,17396.160282 ,6600 ,539 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,0 ,1 ,0 ,0 ,0 ,-2 ,0 ,-2 ,1 ,0 ,0 ,0 ,0 ,-2 ,2 ,68 ,1 ,0 ,0 ,0 ,20 ,1 ,4 ,0 ,-2 ,1 ,0 ,2 ,1 ,1
1 ,12378 ,26217.839959 ,7554 ,338 ,1 ,10 ,0 ,-2 ,0 ,-2 ,7 ,1 ,1 ,0 ,1 ,2 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,65 ,1 ,1 ,1 ,0 ,30 ,2 ,3 ,0 ,0 ,1 ,0 ,1 ,1 ,1
1 ,12679 ,11475.255124 ,6073 ,693 ,1 ,10 ,0 ,-2 ,0 ,-2 ,4 ,1 ,1 ,0 ,1 ,2 ,1 ,2 ,2 ,1 ,1 ,1 ,1 ,0 ,2 ,70 ,1 ,0 ,1 ,0 ,41 ,2 ,4 ,0 ,0 ,1 ,0 ,1 ,1 ,1
1 ,12972 ,32471.478536 ,7189 ,400 ,1 ,20 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,10 ,1 ,15 ,6 ,1 ,1 ,2 ,0 ,1 ,2 ,70 ,1 ,6 ,1 ,0 ,42 ,2 ,3 ,3 ,1 ,1 ,0 ,1 ,1 ,1
4 ,13047 ,15812.293322 ,7391 ,376 ,1 ,10 ,1 ,5 ,0 ,-2 ,2 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,2 ,70 ,1 ,0 ,0 ,0 ,30 ,1 ,3 ,2 ,1 ,1 ,0 ,1 ,2 ,1
1 ,13164 ,15474.940301 ,7188 ,339 ,1 ,20 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,-2 ,-2 ,-2 ,1 ,0 ,1 ,30 ,2 ,4 ,0 ,1 ,1 ,0 ,1 ,1 ,1
34 ,13432 ,17044.592098 ,7277 ,426 ,1 ,-2 ,0 ,-2 ,0 ,-2 ,2 ,1 ,0 ,0 ,1 ,3 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,-2 ,2 ,60 ,1 ,0 ,0 ,-2 ,30 ,2 ,3 ,0 ,-2 ,1 ,0 ,3 ,4 ,1
13 ,13435 ,55952.282992 ,7114 ,427 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,1 ,1 ,0 ,0 ,0 ,-2 ,0 ,-2 ,2 ,0 ,0 ,0 ,0 ,-2 ,-2 ,-2 ,-2 ,0 ,0 ,0 ,30 ,2 ,3 ,0 ,-2 ,1 ,0 ,2 ,1 ,1
4 ,13932 ,12133.269899 ,7118 ,357 ,1 ,10 ,0 ,-2 ,0 ,-2 ,1 ,1 ,0 ,0 ,1 ,4 ,1 ,4 ,2 ,1 ,1 ,0 ,1 ,0 ,2 ,68 ,2 ,1 ,0 ,0 ,42 ,3 ,2 ,0 ,0 ,1 ,0 ,1 ,2 ,1
