"","COMPID","PUMA.NAME","AREA","POP","DENS","UR"
"1","0100100","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",5400.95,186695,34.5670669048964,"R"
"2","0100200","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",2680.25,171821,64.106333364425,"R"
"3","0100301","Huntsville (North) & Madison (East) Cities",236.14,118924,503.616498687219,"U"
"4","0100302","Huntsville City (Central & South)",161.23,101522,629.671897289586,"U"
"5","0100400","DeKalb & Jackson Counties",4804.33,124336,25.8799874280077,"R"
"6","0100500","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",1914.25,118345,61.823168342693,"R"
"7","0100600","Morgan & Lawrence Counties--Decatur City",3289.32,153829,46.7662009169068,"R"
"8","0100700","Cullman & Winston Counties",3490.84,104890,30.0472092676834,"R"
"9","0100800","St. Clair & Blount Counties",3306.58,140915,42.6165403528721,"R"
"10","0100900","Etowah County",1385.62,104430,75.3669837329138,"R"
"11","0101000","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",7860.84,160097,20.3663985019413,"R"
"12","0101100","Calhoun County",1569.19,118572,75.5625513800113,"R"
"13","0101200","Shelby County",2032.96,195085,95.9610617031324,"R"
"14","0101301","Birmingham City (West)",109.51,100833,920.765226919916,"U"
"15","0101302","Birmingham City (East)",135.29,102098,754.660359228324,"U"
"16","0101303","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",353.16,170145,481.77879714577,"U"
"17","0101304","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",1174.5,174673,148.721157939549,"U"
"18","0101305","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",1105.74,110717,100.129325157813,"R"
"19","0101400","Walker, Marion (South & West), Fayette & Lamar Counties",6668.72,121750,18.2568768819204,"R"
"20","0101500","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",5517.14,103773,18.8092018690843,"R"
"21","0101600","Tuscaloosa & Northport (Southeast) Cities",189.03,110629,585.245728191292,"U"
"22","0101700","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",14226.19,136921,9.62457270709867,"R"
"23","0101800","Chilton, Tallapoosa, Chambers & Coosa Counties",6881.16,131013,19.0393770817711,"R"
"24","0101900","Lee County--Auburn City",1573.51,140247,89.1300341275238,"R"
"25","0102000","Montgomery City & Pike Road Town (North)",342.49,196534,573.838652223423,"U"
"26","0102100","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",6684.35,178002,26.6296648140806,"R"
"27","0102200","Southwest Alabama",17978.61,143558,7.98493320673845,"R"
"28","0102300","Coffee, Covington, Butler & Crenshaw Counties",8016.26,122566,15.2896737381273,"R"
"29","0102400","Russell, Pike, Barbour, Macon & Bullock Counties",8883.14,145669,16.3983681445975,"R"
"30","0102500","Houston, Dale, Geneva & Henry Counties--Dothan City",5897.75,195890,33.2143614090119,"R"
"31","0102600","Baldwin County",4117.52,182265,44.2657230565972,"R"
"32","0102701","Mobile City (East)",158.89,110765,697.117502674806,"U"
"33","0102702","Mobile City (West)",147.42,107285,727.750644417311,"U"
"34","0102703","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",2877.91,194942,67.7373510637928,"R"
"35","0200101","Anchorage Municipality (North)",2672.01,132542,49.603856272993,"R"
"36","0200102","Anchorage Municipality (South)",1743.1,159284,91.3797257759165,"R"
"37","0200200","Matanuska-Susitna & Kenai Peninsula Boroughs",105369.08,144395,1.37037354791368,"R"
"38","0200300","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",231621.53,164300,0.709346838353067,"R"
"39","0200400","Subsistence Alaska",1136547.5,109710,0.0965291815784206,"R"
"40","0400100","Maricopa County--Gilbert (South) & Queen Creek Towns",178.61,111283,623.050221152231,"U"
"41","0400101","Maricopa County--Mesa City (East)",224.49,146304,651.717225711613,"U"
"42","0400102","Maricopa County--Mesa City (North Central)",106.15,131113,1235.16721620349,"U"
"43","0400103","Maricopa County--Mesa City (West)",46.71,106091,2271.26953543139,"U"
"44","0400104","Maricopa County--Mesa City (South Central)",54.15,100229,1850.95106186519,"U"
"45","0400105","Maricopa County--Gilbert Town (North)",95.73,135319,1413.54852188447,"U"
"46","0400106","Maricopa County--Chandler City (Northeast)",59.34,114036,1921.73913043478,"U"
"47","0400107","Maricopa County--Chandler City (South)",105.43,100430,952.575168358152,"U"
"48","0400108","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",70.69,101048,1429.45253925591,"U"
"49","0400109","Maricopa County--Tempe City (North)",63.04,102150,1620.39974619289,"U"
"50","0400110","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town",121.9,116958,959.458572600492,"U"
"51","0400111","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town",3301.05,104877,31.7708001999364,"R"
"52","0400112","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",608.66,105478,173.29543587553,"U"
"53","0400113","Phoenix City (Northeast)",85.57,102189,1194.2152623583,"U"
"54","0400114","Phoenix City (Northeast Central)",62.26,103639,1664.61612592355,"U"
"55","0400115","Phoenix City (Northwest Central)",56.73,101757,1793.70703331571,"U"
"56","0400116","Phoenix City (Uptown)",44.5,100212,2251.95505617978,"U"
"57","0400117","Phoenix City (East)",61.97,100444,1620.84879780539,"U"
"58","0400118","Phoenix City--Downtown & Sky Harbor International Airport",89.6,108714,1213.32589285714,"U"
"59","0400119","Phoenix City (South)",79.39,105514,1329.05907545031,"U"
"60","0400120","Phoenix City--Ahwatukee & South Mountain",142.64,100182,702.341559169938,"U"
"61","0400121","Phoenix (Southwest) & Tolleson Cities",163.73,123745,755.786966347035,"U"
"62","0400122","Phoenix City--Maryvale (East)",36.9,104327,2827.28997289973,"U"
"63","0400123","Phoenix City--Maryvale (West)",41.62,108404,2604.61316674676,"U"
"64","0400124","Maricopa County--Glendale City (South)",67.43,100367,1488.46210885363,"U"
"65","0400125","Phoenix City (West)",41.24,101932,2471.67798254122,"U"
"66","0400126","Maricopa County--Glendale City (North)",82.95,121841,1468.84870403858,"U"
"67","0400127","Maricopa County--Peoria City (South & Central)",73.55,113447,1542.44731475187,"U"
"68","0400128","Phoenix City (North)",74.89,103065,1376.21845373214,"U"
"69","0400129","Phoenix (Far North) & Peoria (Northwest) Cities",653.73,105818,161.868049500558,"U"
"70","0400130","Maricopa County--El Mirage City & Sun City",114.03,116222,1019.2230114882,"U"
"71","0400131","Maricopa County--Surprise City (Central)",99.01,103540,1045.75295424705,"U"
"72","0400132","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",368.01,102571,278.717969620391,"U"
"73","0400133","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",100.82,103989,1031.43225550486,"U"
"74","0400134","Maricopa County (West) & Gila River Indian Community (Northwest)",16251.74,109882,6.7612452574309,"R"
"75","0400201","Pima County (West)",18320.59,101172,5.52231123560977,"R"
"76","0400202","Tucson (West) & Marana Cities",830.23,115321,138.90247280874,"U"
"77","0400203","Pima County (North Central)--Oro Valley Town",527.95,109462,207.334027843546,"U"
"78","0400204","Pima County (Northeast)",896.88,104434,116.441441441441,"R"
"79","0400205","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",2925.65,122285,41.797549262557,"R"
"80","0400206","Tucson City (Northeast)",60.62,102159,1685.23589574398,"U"
"81","0400207","Tucson City (Northwest)",50.23,101927,2029.20565399164,"U"
"82","0400208","Tucson City (South)",69,108063,1566.13043478261,"U"
"83","0400209","Tucson City (Southeast)",113.17,115440,1020.05831934258,"U"
"84","0400300","Navajo & Apache Counties",54772.92,178967,3.26743580586903,"R"
"85","0400400","Coconino County--Flagstaff City",48222.69,134421,2.78750521797934,"R"
"86","0400500","Yavapai County",21039.76,211033,10.0301999642581,"R"
"87","0400600","Mohave & La Paz Counties--Lake Havasu City",46129.53,220675,4.78381201802836,"R"
"88","0400700","Yuma County--Yuma City",14281.17,195751,13.7069301744885,"R"
"89","0400800","Gila, Graham, Greenlee & Pinal (East) Counties",31728.94,110114,3.47045946066903,"R"
"90","0400803","Pinal County (North)--Apache Junction City",1435.35,123512,86.0500923119797,"R"
"91","0400805","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",5478.46,114145,20.8352347192459,"R"
